"ECO_ID","ECO_NAME","BIOME_NAME","REALM"
349,"British Columbia coastal conifer forests","Temperate Conifer Forests","Nearctic"
411,"Brooks-British Range tundra","Tundra","Nearctic"
138,"Buru rain forests","Tropical & Subtropical Moist Broadleaf Forests","Australasia"
525,"Caatinga","Tropical & Subtropical Dry Broadleaf Forests","Neotropic"
445,"Caatinga Enclaves moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
691,"Caledon conifer forests","Temperate Conifer Forests","Palearctic"
385,"California Central Valley grasslands","Temperate Grasslands, Savannas & Shrublands","Nearctic"
422,"California coastal sage and chaparral","Mediterranean Forests, Woodlands & Scrub","Nearctic"
423,"California interior chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub","Nearctic"
424,"California montane chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub","Nearctic"
2,"Cameroon Highlands forests","Tropical & Subtropical Moist Broadleaf Forests","Afrotropic"
566,"Campos Rupestres montane savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Neotropic"
386,"Canadian Aspen forests and parklands","Temperate Grasslands, Savannas & Shrublands","Nearctic"
412,"Canadian High Arctic tundra","Tundra","Nearctic"
413,"Canadian Low Arctic tundra","Tundra","Nearctic"
414,"Canadian Middle Arctic Tundra","Tundra","Nearctic"
787,"Canary Islands dry woodlands and forests","Mediterranean Forests, Woodlands & Scrub","Palearctic"
648,"Cantabrian mixed forests","Temperate Broadleaf & Mixed Forests","Palearctic"
190,"Canterbury-Otago tussock grasslands","Temperate Grasslands, Savannas & Shrublands","Australasia"
31,"Cape Verde Islands dry forests","Tropical & Subtropical Dry Broadleaf Forests","Afrotropic"
183,"Cape York Peninsula tropical savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia"
446,"Caqueta moist forests","Tropical & Subtropical Moist Broadleaf Forests","Neotropic"
223,"Cardamom Mountains rain forests","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan"
599,"Caribbean shrublands","Deserts & Xeric Shrublands","Neotropic"
207,"Carnarvon xeric shrublands","Deserts & Xeric Shrublands","Australasia"
618,"Carolines tropical moist forests","Tropical & Subtropical Moist Broadleaf Forests","Oceania"
692,"Carpathian montane forests","Temperate Conifer Forests","Palearctic"
184,"Carpentaria tropical savanna","Tropical & Subtropical Grasslands, Savannas & Shrublands","Australasia"
